generation	transect	b	p_beta	lrt_p_value
144	4	0.042449144	0.62436521	0.624364899
145	1	0.078587414	0.355148629	0.355250848
145	2	0.029478036	0.729302052	0.729310997
145	3	-0.04458825	0.600061162	0.600088389
145	4	0.028048506	0.750638549	0.750624784
146	1	-0.001531541	0.985458882	0.985458943
146	2	0.019065522	0.82399421	0.823994073
146	3	-0.053061269	0.535917863	0.535974143
146	4	0.0556551	0.521929748	0.52204402
147	1	0.034786661	0.682077111	0.682115526
147	2	0.027444774	0.746243086	0.746248928
147	3	-0.046023874	0.594828577	0.594860688
147	4	0.037789282	0.67068681	0.67069016
148	1	-0.042631682	0.614496138	0.614484595
148	2	-0.012532832	0.883315773	0.883326363
148	3	-0.054208184	0.519115287	0.519151786
148	4	0.008805703	0.920754504	0.920749745
149	1	-0.015664361	0.857096731	0.85709094
149	2	-0.005066776	0.952129796	0.952129532
149	3	0.003811734	0.964358676	0.964339308
149	4	0.071045291	0.424666481	0.424707103
150	1	-0.024815921	0.775384114	0.775377066
150	2	0.032283586	0.708679069	0.708677477
150	3	-0.030214378	0.72126876	0.721282864
150	4	0.032255326	0.716816016	0.716825249
151	1	-0.066893559	0.453144018	0.453202545
151	2	0.049691444	0.559339939	0.559361923
151	3	-0.046849245	0.586892518	0.586921743
151	4	0.052893379	0.551933013	0.552003074
152	1	-0.026783835	0.764524509	0.764392974
152	2	-0.026344253	0.760027377	0.760040447
152	3	-0.055587872	0.526464524	0.52652925
152	4	0.034705347	0.692978389	0.692995524
153	1	-0.037672621	0.670781829	0.670719184
153	2	-0.002305552	0.979042893	0.979008084
153	3	-0.069647902	0.417565478	0.417582058
153	4	0.022585468	0.796447478	0.796453838
154	1	-0.050520264	0.558155683	0.558188136
154	2	-7.05E-04	0.993502523	0.993502579
154	3	-0.05542841	0.529323437	0.529381686
154	4	0.06302135	0.479593711	0.479628304
