generation	transect	bl	bh	b	N	nsig	p
101	2	-0.901977229	1.039375416	-0.122956314	100	7	0.07
101	3	-1.107846996	1.006825072	-0.020129612	100	8	0.08
101	4	-0.611195815	1.13198002	0.013378699	100	4	0.04
102	1	-0.998936194	1.720191759	-2.20E-04	100	6	0.06
102	2	-1.21120473	0.988805074	-0.104955868	100	6	0.06
102	3	-1.12110886	1.006966229	-0.012922658	100	4	0.04
102	4	-0.833283587	1.24039343	0.103147472	100	8	0.08
103	1	-1.106757683	1.094212603	-0.029264386	100	6	0.06
103	2	-1.051456542	1.038845876	0.05080441	100	6	0.06
103	3	-0.899310957	0.936445295	0.023367678	100	4	0.04
103	4	-1.095133114	0.967863051	-0.022601959	100	9	0.09
104	1	-1.279711317	1.299736618	0.125680531	100	6	0.06
104	2	-1.006813408	0.794807184	0.022233607	100	4	0.04
104	3	-0.980069665	1.143965165	-0.048390624	100	6	0.06
104	4	-1.029801421	0.858599931	0.101351343	100	5	0.05
105	1	-0.85606883	0.906162717	0.014763352	100	4	0.04
105	2	-1.657142242	0.969813087	0.075671468	100	4	0.04
105	3	-1.232344874	1.075801792	0.034866506	100	10	0.1
105	4	-0.817975616	0.902780029	0.019972987	100	3	0.03
106	1	-0.92528883	0.69623918	-0.014081892	100	4	0.04
106	2	-1.153697251	0.972274336	-0.07007967	100	8	0.08
106	3	-1.204014404	1.26313899	0.058240546	100	11	0.11
106	4	-0.963389055	1.155171761	0.077015481	100	8	0.08
107	1	-0.996534861	1.177222094	0.058787215	100	6	0.06
107	2	-1.223209389	0.833817099	0.015562046	100	5	0.05
107	3	-0.985010059	0.846300037	-0.003388128	100	6	0.06
107	4	-0.902394464	0.968682632	0.04666491	100	4	0.04
108	1	-0.994995764	1.151822404	-0.105161328	100	7	0.07
108	2	-0.766133863	1.092760454	-0.006829226	100	2	0.02
108	3	-1.092808239	0.953769806	0.040154923	100	5	0.05
108	4	-1.058325141	1.223932763	-0.004397096	100	4	0.04
109	1	-0.81769247	1.249917826	0.032405651	100	8	0.08
109	2	-0.892510001	1.073907173	-0.003461075	100	2	0.02
109	3	-0.815272232	1.194722934	0.056170967	100	5	0.05
109	4	-1.163965758	0.780197362	-0.0995406	100	7	0.07
110	1	-1.021966228	1.006936003	0.036074609	100	7	0.07
110	2	-0.814482411	0.943252164	0.022132282	100	4	0.04
110	3	-0.883053475	0.973992543	0.083108776	100	7	0.07
110	4	-1.072826111	0.905609531	0.028701103	100	5	0.05
111	1	-0.997030755	0.81967183	-0.035412289	100	7	0.07
